name,location,plz,city,rating_average,rating_count,operator
Mensa Teltower Damm ,Teltower Damm 118-122,14167,Berlin,"3,4",56,Studierendenwerk Berlin
Mensa Luxemburger Straße ,Luxemburger Straße 9,13353,Berlin,"3,4",781,Studierendenwerk Berlin
Mensa Hellersdorf ,Kokoschkaplatz 8a,12627,Berlin,"3,4",111,Studierendenwerk Berlin
Mensa Senftenberg ,Großenhainer Straße 57,01968,Senftenberg,"2,8",87,Studierendenwerk Ostbrandenburg
Mensa Europaplatz ,Europaplatz 1,15230,Frankfurt (Oder),"3,3",1.578,Studierendenwerk Ostbrandenburg
Mensa Brandenburg an der Havel ,Magdeburger Straße 50,14770,Brandenburg an der Havel,"3,7",3.342,Studierendenwerk Westbrandenburg
Mensa Studierendenhaus ,Von-Melle-Park 2,20146,Hamburg,"3,3",3.458,Studierendenwerk Hamburg
Mensa Stellingen ,Vogt-Kölln-Straße 30,22527,Hamburg,"3,8",325,Studierendenwerk Hamburg
Mensa Philosophenturm ,Von-Melle-Park 6,20146,Hamburg,"3,3",2.073,Studierendenwerk Hamburg
Mensa Geomatikum ,Bundesstraße 55,20146,Hamburg,"3,6",824,Studierendenwerk Hamburg
Mensa Botanischer Garten ,Ohnhorststraße 18,22609,Hamburg,"3,6",378,Studierendenwerk Hamburg
Café Jungiusstraße ,Jungiusstraße 9,20355,Hamburg,"3,6",96,Studierendenwerk Hamburg
Café dell'Arte ,Edmund-Siemers-Allee 1,20146,Hamburg,"3,9",52,Studierendenwerk Hamburg
Café CFEL ,Notkestraße 85,22607,Hamburg,"3,1",309,Studierendenwerk Hamburg
Café am Mittelweg ,Mittelweg 177,20148,Hamburg,"3,7",143,Studierendenwerk Hamburg
Blattwerk ,Von-Melle-Park 5,20146,Hamburg,"3,5",3.206,Studierendenwerk Hamburg
Mensa Harburg ,Denickestraße 22,21073,Hamburg,"3,6",7.762,Studierendenwerk Hamburg
Mensa Griebnitzsee ,August-Bebel-Straße 89,14482,Potsdam,"3,4",1.455,Studierendenwerk Westbrandenburg
Mensa Golm ,Karl-Liebknecht-Straße 24/25,14476,Potsdam,"3,6",935,Studierendenwerk Westbrandenburg
Mensa Waldcampus ,Alfred-Möller-Straße 1,16225,Eberswalde,,,Studierendenwerk Ostbrandenburg
Mensa Sachsendorf ,Lipezker Straße 47,03048,Cottbus,"3,7",411,Studierendenwerk Ostbrandenburg
Mensa BTU ,Friedlieb-Runge-Straße 1,03046,Cottbus,"3,4",344,Studierendenwerk Ostbrandenburg
Unique Café ,Enrique-Schmidt-Straße 7,28359,Bremen,"3,6",490,unknown
Unimensa am Boulevard ,Leobener Straße 3,28359,Bremen,"3,6",38.421,Studierendenwerk Bremen
Unikum ,Bibliothekstraße 1,28359,Bremen,"3,2",160,unknown
Mensa NW1 ,Otto-Hahn-Allee 1,28359,Bremen,"3,5",1.497,Studierendenwerk Bremen
Mensa Domshof ,Domshof 26,28199,Bremen,"3,6",333,Studierendenwerk Bremen
Caféteria GW2 ,Enrique-Schmidt-Straße 1,28359,Bremen,"3,9",1.840,Studierendenwerk Bremen
Café Central ,Leobener Straße 3,28359,Bremen,"3,4",275,Studierendenwerk Bremen
Mensa Werderstraße ,Werderstraße 73,28199,Bremen,"3,5",5.245,Studierendenwerk Bremen
Mensa Neustadtswall ,Neustadtswall 33,28199,Bremen,"3,4",14.742,Studierendenwerk Bremen
Mensa Airport ,Flughafenallee 10,28199,Bremen,"3,3",2.719,Studierendenwerk Bremen
Interimsmensa HfK ,Am Speicher XI 8,28217,Bremen,"3,3",63,Studierendenwerk Bremen
Mensa Stadtcampus ,Goethestraße 11,16225,Eberswalde,"3,4",231,Studierendenwerk Ostbrandenburg
Mensa Am Neuen Palais ,Am Neuen Palais 10,14469,Potsdam,"3,8",479,Studierendenwerk Westbrandenburg
Mensa Filmuniversität ,Marlene-Dietrich-Allee 11,14482,Potsdam,"3,6",151,Studierendenwerk Westbrandenburg
Mensa Kiepenheuerallee ,Kiepenheuerallee 5,14469,Potsdam,"3,6",2.656,Studierendenwerk Westbrandenburg
Café ZessP ,Am Schwarzenberg-Campus 2,21073,Hamburg,"4,0",168,Studierendenwerk Hamburg
Mensa HCU ,Überseeallee 16,20457,Hamburg,"3,3",3.072,Studierendenwerk Hamburg
Mensa Finkenau ,Finkenau 35,22081,Hamburg,"3,5",866,Studierendenwerk Hamburg
Mensa Berliner Tor ,Berliner Tor 7,20099,Hamburg,"3,5",4.051,Studierendenwerk Hamburg
Mensa Bergedorf ,Lohbrügger Kirchstraße 65,21033,Hamburg,"3,5",1.228,Studierendenwerk Hamburg
Café Alexanderstraße ,Alexanderstraße 1,20099,Hamburg,"3,5",77,Studierendenwerk Hamburg
Mensa Bucerius Law School ,Jungiusstraße 6,20355,Hamburg,"3,3",3.406,Studierendenwerk Hamburg
Mensa Rüsselsheim ,Am Brückweg 26,65428,Rüsselsheim,"3,3",813,Studierendenwerk Frankfurt am Main
Cafeteria Hochschule für Gestaltung ,Schlossstraße 31,63065,Offenbach,"3,5",92,Studierendenwerk Frankfurt am Main
Mensa Hochschule Fulda ,Marquardstraße 35,36039,Fulda,"3,5",6.368,Studentenwerk Gießen
Mensa THM Friedberg ,Wilhelm-Leuschner-Straße 13,61169,Friedberg,"3,7",1.069,Studentenwerk Gießen
Mensa Dieburg ,Max-Planck-Straße 4,64807,Dieburg,"3,3",552,Studierendenwerk Darmstadt
Mensa Stralsund ,Zur Schwedenschanze 15,18435,Stralsund,"3,6",5.930,Studierendenwerk Greifswald
Mensa Neubrandenburg ,Brodaer Straße 4,17033,Neubrandenburg,"3,6",3.382,Studierendenwerk Greifswald
Mensa Ostfalia ,Salzdahlumer Straße 46/48,38302,Wolfenbüttel,"3,4",3.099,Studierendenwerk OstNiedersachsen
